IMDb,classify,douban,title,year
6.9,动作/奇幻/冒险,7.3,　加勒比海盗5：死无对证/加勒比海盗：恶灵启航(港)/加勒比海盗 神鬼奇航：死无对证(台)/加勒比海盗5：亡灵的缄默/加勒比海盗5：亡者无言/加勒比海盗5：死人不会告密,2017
7.2,动作/奇幻/冒险,7.3,　亚瑟王：斗兽争霸/亚瑟王：圣剑传奇/亚瑟：王者之剑(台)/神剑亚瑟王(港)/亚瑟王：圆桌骑士/亚瑟王：剑之传奇/亚瑟王：石中剑传说/新亚瑟王/圆桌骑士,2017
7.2,动作/奇幻/冒险,7.3,　亚瑟王：斗兽争霸/亚瑟王：圣剑传奇/亚瑟：王者之剑(台)/神剑亚瑟王(港)/亚瑟王：圆桌骑士/亚瑟王：剑之传奇/亚瑟王：石中剑传说/新亚瑟王/圆桌骑士,2017
7.2,动作/奇幻/冒险,7.3,　亚瑟王：斗兽争霸/亚瑟王：圣剑传奇/亚瑟：王者之剑(台)/神剑亚瑟王(港)/亚瑟王：圆桌骑士/亚瑟王：剑之传奇/亚瑟王：石中剑传说/新亚瑟王/圆桌骑士,2017
7.2,动作/奇幻/冒险,7.3,　亚瑟王：斗兽争霸/亚瑟王：圣剑传奇/亚瑟：王者之剑(台)/神剑亚瑟王(港)/亚瑟王：圆桌骑士/亚瑟王：剑之传奇/亚瑟王：石中剑传说/新亚瑟王/圆桌骑士,2017
7.2,动作/奇幻/冒险,7.3,　亚瑟王：斗兽争霸/亚瑟王：圣剑传奇/亚瑟：王者之剑(台)/神剑亚瑟王(港)/亚瑟王：圆桌骑士/亚瑟王：剑之传奇/亚瑟王：石中剑传说/新亚瑟王/圆桌骑士,2017
7.2,动作/奇幻/冒险,7.3,　亚瑟王：斗兽争霸/亚瑟王：圣剑传奇/亚瑟：王者之剑(台)/神剑亚瑟王(港)/亚瑟王：圆桌骑士/亚瑟王：剑之传奇/亚瑟王：石中剑传说/新亚瑟王/圆桌骑士,2017
7.5,爱情/奇幻/歌舞,7.3,　美女与野兽,2017
7.5,爱情/奇幻/歌舞,7.3,　美女与野兽,2017
6.5,喜剧/动画,7.3,　小黄人大眼萌/小黄人/迷你兵团(港)/小小兵(台)/小黄人大电影,2015
6.6,喜剧/动画,7.3,　小黄人大眼萌/小黄人/迷你兵团(港)/小小兵(台)/小黄人大电影,2015
6.8,喜剧/科幻/动画/冒险,7.3,　疯狂外星人/家园/无敌安乐窝(港)/好家在一起(台)/斯麦克节快乐,2015
6.8,喜剧/科幻/动画/冒险,7.3,　疯狂外星人/家园/无敌安乐窝(港)/好家在一起(台)/斯麦克节快乐,2015
,动画/冒险/喜剧/家庭,7.3,　闪电狗/雷霆战狗/超级零零狗3D/明星狗,2008
,动画/冒险/喜剧/家庭,7.3,　闪电狗/雷霆战狗/超级零零狗3D/明星狗,2008
7.1,恐怖,7.3,　恐怖蜡像馆,1953
5.9,剧情/动作/惊悚/冒险,7.3,　夺命深渊/3D惊天洞地(台)/潜行深渊(港)/洞穴/圣地,2011
5.9,剧情/动作/惊悚/冒险,7.3,　夺命深渊/3D惊天洞地(台)/潜行深渊(港)/洞穴/圣地,2011
7,动作/冒险,7.2,　超凡蜘蛛侠/蜘蛛侠：惊世现新(港)/蜘蛛人：惊奇再起(台)/神奇蜘蛛侠/蜘蛛侠前传/蜘蛛侠4/新蜘蛛侠,2012
7,动作/冒险,7.2,　超凡蜘蛛侠/蜘蛛侠：惊世现新(港)/蜘蛛人：惊奇再起(台)/神奇蜘蛛侠/蜘蛛侠前传/蜘蛛侠4/新蜘蛛侠,2012
6.1,动画/冒险/喜剧/家庭/奇幻,7.2,　怪物史瑞克3/怪物史莱克3/史瑞克3/史力加3/史力加之咁就三世,2007
6.1,动画/冒险/喜剧/家庭/奇幻,7.2,　怪物史瑞克3/怪物史莱克3/史瑞克3/史力加3/史力加之咁就三世,2007
6.7,动作/科幻/冒险,7.1,　星际特工：千星之城/瓦莱里安与一千颗行星的城市/星际特工瓦雷诺：千星之城(台)/瓦莱里安与千星之城,2017
6.9,喜剧/动画/冒险,7.1,　赛车总动员3：极速挑战/反斗车王3(港)/Cars 3：闪电再起(台)/赛车总动员3/汽车总动员3/小汽车的故事3/飞车正传3,2017
6.9,喜剧/动画/冒险,7.1,　赛车总动员3：极速挑战/反斗车王3(港)/Cars 3：闪电再起(台)/赛车总动员3/汽车总动员3/小汽车的故事3/飞车正传3,2017
6.7,动作/科幻/冒险,7.1,　星际特工：千星之城/瓦莱里安与一千颗行星的城市/星际特工瓦雷诺：千星之城(台)/瓦莱里安与千星之城,2017
6.6,动作/科幻/冒险,7.1,　星际特工：千星之城/瓦莱里安与一千颗行星的城市/星际特工瓦雷诺：千星之城(台)/瓦莱里安与千星之城,2017
6.9,喜剧/动画/冒险,7.1,　赛车总动员3：极速挑战/反斗车王3(港)/Cars 3：闪电再起(台)/赛车总动员3/汽车总动员3/小汽车的故事3/飞车正传3,2017
8.2,动作/科幻/奇幻/冒险,7.1,　星球大战7：原力觉醒/星球大战：原力觉醒/星际大战七部曲：原力觉醒(台)/星战7,2015
8.2,动作/科幻/奇幻/冒险,7.1,　星球大战7：原力觉醒/星球大战：原力觉醒/星际大战七部曲：原力觉醒(台)/星战7,2015
6.9,喜剧/动画/冒险/家庭,7.1,　恐龙当家/恐龙大时代(港)/美好的恐龙世界/善良的恐龙/恐龙管家,2015
6.9,喜剧/动画/冒险/家庭,7.1,　恐龙当家/恐龙大时代(港)/美好的恐龙世界/善良的恐龙/恐龙管家,2015
6.9,喜剧/动画/冒险/家庭,7.1,　恐龙当家/恐龙大时代(港)/美好的恐龙世界/善良的恐龙/恐龙管家,2015
7.8,动作/科幻/奇幻/冒险,7.1,　复仇者联盟2：奥创纪元/复仇者联盟2/复仇者联盟：奥创时代/复仇者联盟：奥创年代/复联2,2015
7.8,动作/科幻/奇幻/冒险,7.1,　复仇者联盟2：奥创纪元/复仇者联盟2/复仇者联盟：奥创时代/复仇者联盟：奥创年代/复联2,2015
7.8,动作/科幻/奇幻/冒险,7.1,　复仇者联盟2：奥创纪元/复仇者联盟2/复仇者联盟：奥创时代/复仇者联盟：奥创年代/复联2,2015
6.2,动作/冒险/灾难,7.1,　末日崩塌/加州大地震(台)/圣安地列斯,2015
6.2,动作/冒险/灾难,7.1,　末日崩塌/加州大地震(台)/圣安地列斯,2015
7,剧情/动作/冒险,7,　海洋深处/巨鲸传奇：怒海中心(港)/白鲸传奇：怒海之心(台)/海洋之心/大洋深处,2015
7,剧情/动作/冒险,7,　海洋深处/巨鲸传奇：怒海中心(港)/白鲸传奇：怒海之心(台)/海洋之心/大洋深处,2015
7,剧情/动作/冒险,7,　海洋深处/巨鲸传奇：怒海中心(港)/白鲸传奇：怒海之心(台)/海洋之心/大洋深处,2015
7,剧情/动作/冒险,7,　海洋深处/巨鲸传奇：怒海中心(港)/白鲸传奇：怒海之心(台)/海洋之心/大洋深处,2015
7,剧情/动作/冒险,7,　海洋深处/巨鲸传奇：怒海中心(港)/白鲸传奇：怒海之心(台)/海洋之心/大洋深处,2015
6.8,动作/科幻/冒险,7,　终结者：创世纪/终结者5/未来战士：创世智能(港)/魔鬼终结者：创世契机(台)/终结者：创世/终结者：造物主,2015
7.3,纪录片,7,　棕熊之国,2014
7.3,纪录片,7,　棕熊之国,2014
6.3,喜剧/动画/冒险,6.9,　神偷奶爸3/卑鄙的我3/坏蛋奖门人3(港)/神偷奶爸3之小小兵,2017
6.3,喜剧/动画/冒险,6.9,　神偷奶爸3/卑鄙的我3/坏蛋奖门人3(港)/神偷奶爸3之小小兵,2017
6.3,喜剧/动画/冒险,6.9,　神偷奶爸3/卑鄙的我3/坏蛋奖门人3(港)/神偷奶爸3之小小兵,2017
5.8,动作/科幻/恐怖,6.7,　生化危机：终章/恶灵古堡6：最终章(台)/生化危机6,2016
5.8,动作/科幻/恐怖,6.7,　生化危机：终章/恶灵古堡6：最终章(台)/生化危机6,2016
7,冒险/恐怖/科幻,6.7,　黑湖妖谭/黑湖妖潭/黑湖怪兽,1954
5.8,动作/冒险/爱情,6.7,　三个火枪手/三剑侠3D 双城暗战(港)/3D剑客联盟：云端之战(台),2011
5.8,动作/冒险/爱情,6.7,　三个火枪手/三剑侠3D 双城暗战(港)/3D剑客联盟：云端之战(台),2011
5.7,喜剧/动画/冒险,6.6,　冰川时代5：星际碰撞/冰川时代5/冰原历险记5：笑星撞地球(台)/冰河世纪5/冰川时代5：碰撞航向/冰河世纪：陨石撞地球(港),2016
5.7,喜剧/动画/冒险,6.6,　冰川时代5：星际碰撞/冰川时代5/冰原历险记5：笑星撞地球(台)/冰河世纪5/冰川时代5：碰撞航向/冰河世纪：陨石撞地球(港),2016
6.6,动作/科幻/犯罪,6.5,　攻壳机动队/攻壳机动队真人版,2017
6.6,动作/科幻/犯罪,6.5,　攻壳机动队/攻壳机动队真人版,2017
6.6,动作/科幻/犯罪,6.5,　攻壳机动队/攻壳机动队真人版,2017
6.6,动作/科幻/犯罪,6.5,　攻壳机动队/攻壳机动队真人版,2017
4.2,动画,6.5,　萨瓦传奇/萨瓦：勇者之心,2015
6.5,喜剧/动画/冒险/家庭,6.5,　海绵宝宝历险记：海绵出水/海绵宝宝：海陆大出击(台)/海绵宝宝历险记2/海绵宝宝3D,2015
6.5,喜剧/动画/冒险/家庭,6.5,　海绵宝宝历险记：海绵出水/海绵宝宝：海陆大出击(台)/海绵宝宝历险记2/海绵宝宝3D,2015
6.5,喜剧/动画/冒险/家庭,6.5,　海绵宝宝历险记：海绵出水/海绵宝宝：海陆大出击(台)/海绵宝宝历险记2/海绵宝宝3D,2015
5.9,喜剧/动画/奇幻/冒险,6.4,　蓝精灵：寻找神秘村/蓝精灵3：失落的村庄/蓝色小精灵：失落的蓝蓝村(台)/超级蓝精灵：魔法重启/蓝精灵3,2017
5.9,喜剧/动画/奇幻/冒险,6.4,　蓝精灵：寻找神秘村/蓝精灵3：失落的村庄/蓝色小精灵：失落的蓝蓝村(台)/超级蓝精灵：魔法重启/蓝精灵3,2017
6.2,喜剧/动作/科幻/奇幻/冒险,6.4,　忍者神龟2：破影而出/忍者龟：魅影突击(港)/忍者龟：破影而出(台)/忍者神龟2/真人版忍者神龟2,2016
6.2,喜剧/动作/科幻/奇幻/冒险,6.4,　忍者神龟2：破影而出/忍者龟：魅影突击(港)/忍者龟：破影而出(台)/忍者神龟2/真人版忍者神龟2,2016
6.2,喜剧/动作/科幻/奇幻/冒险,6.4,　忍者神龟2：破影而出/忍者龟：魅影突击(港)/忍者龟：破影而出(台)/忍者神龟2/真人版忍者神龟2,2016
6.2,喜剧/动作/科幻/奇幻/冒险,6.4,　忍者神龟2：破影而出/忍者龟：魅影突击(港)/忍者龟：破影而出(台)/忍者神龟2/真人版忍者神龟2,2016
6,奇幻/冒险,6.4,　小飞侠：幻梦启航/潘恩：航向梦幻岛(台)/小飞侠：魔幻始源(港)/彼得·潘/小飞侠,2015
